Filename,Accumbens_Core_Left,Accumbens_Core_Right,Accumbens_Shell_Left,AccumbensShell_Right,Amygdala_Left,Amygdala_Right,Bed_Nucleus_Stria_Terminalis_Left,Bed_Nucleus_Stria_Terminalis_Right,Caudate_Putamen_Left,CaudatePutamen_Right,Cerebellum_Left,Cerebellum_Right,Corpus_Callosum_Left,Corpus_Callosum_Right,Cortex_Auditory_Left,Cortex_Auditory_Right,Cortex_Cingulate_Left,Cortex_Cingulate_Right,Cortex_Entorhinal_Left,Cortex_Entorhinal_Right,Cortex_Frontal_Association_Left,Cortex_Frontal_Association_Right,Cortex_Insular_Left,Cortex_Insular_Right,Cortex_MedialPrefrontal_Left,Cortex_MedialPrefrontal_Right,Cortex_Motor_Left,Cortex_Motor_Right,Cortex_Orbitofrontal_Left,Cortex_Orbitofrontal_Right,Cortex_Parietal_Association_Left,Cortex_Parietal_Association_Right,Cortex_Piriform_Left,Cortex_Piriform_Right,Cortex_Retrosplenial_Left,Cortex_Retrosplenial_Right,Cortex_Somatosensory_Left,Cortex_Somatosensory_Right,Cortex_TemporalAssociation_Left,Cortex_TemporalAssociation_Right,Cortex_Visual_Left,Cortex_Visual_Right,Diagonal_Band_Left,Diagonal_Band_Right,Globus_Pallidus_Left,Globus_Pallidus_Right,Hippocampus_AnteroDorsal_Left,Hippocampus_AnteroDorsal_Right,Hippocampus_Posterior_Left,Hippocampus_Posterior_Right,Hippocampus_PosteroDorsal_Left,Hippocampus_PosteroDorsal_Right,Hippocampus_Subiculum_Left,Hippocampus_Subiculum_Right,Hippocampus_Ventral_Left,Hippocampus_Ventral_Right,Hypothalamus_Lateral_Left,Hypothalamus_Lateral_Right,Hypothalamus_Medial_Left,Hypothalamus_Medial_Right,Internal_Capsule_Left,Internal_Capsule_Right,IPAC_Left,IPAC_Right,Medial_Geniculate_Left,Medial_Geniculate_Right,Medulla_Left,Medulla_Right,Mesencephalic_Region_Left,Mesencephalic_Region_Right,Olfactory_Nuclei_Left,Olfactory_Nuclei_Right,Olfactory_Tubercle_Left,Olfactory_Tubercle_Right,PAG_Left,PAG_Right,Pons_Left,Pons_Right,Raphe_Left,Raphe_Right,Septum_Left,Septum_Right,Substantia_Innominata_Left,Substantia_Innominata_Right,Substantia_Nigra_Left,Substantia_Nigra_Right,Superior_Colliculus_Left,Superior_Colliculus_Right,Thalamus_Dorsolateral_Left,Thalamus_Dorsolateral_Right,Thalamus_MidlineDorsal_Left,Thalamus_MidlineDorsal_Right,Thalamus_Ventromedial_Left,Thalamus_Ventromedial_Right,Ventral_Pallidum_Left,Ventral_Pallidum_Right,Ventral_TegmentalArea_Left,Ventral_TegmentalArea_Right,Zona_Incerta_Left,Zona_Incerta_Right
/home/torgil/tmp/rotte/git_base/img/crop/Control_1034_Scan_2_SPECT_scropWarped.nii.gz,984.365024404211,1019.72790310593,926.727329871486,952.078958712561,844.278823982951,813.738502911051,810.152298966154,801.421299198996,927.740252749015,962.862837709122,952.954057252491,1009.37564971237,1077.67091255921,1119.1385387262,981.693647756198,1120.03303145363,1279.82237553629,1272.89306735168,838.721780969634,872.623145132821,1209.67533865999,1207.24136651737,924.226754592807,944.921178399606,1146.04543027649,1192.51147822512,1111.52228235961,1115.7375270039,1125.5154024211,1199.69001751889,1111.82558984435,1190.54935577387,798.046916209083,832.526890792588,1157.02242067411,1141.79697869267,1029.26268738233,1102.18581866466,943.970134469147,1006.02393981883,1092.84975855243,1163.47419568004,815.665599004964,803.225169943976,803.264572619865,785.591219953271,1027.57447446651,1041.23546559919,1016.24217426421,1022.34340820381,1080.79994095928,1110.30475841679,1027.05266315721,1050.57091189173,930.850584060893,958.89760575047,933.246304002463,856.453577799215,962.943257220177,931.942749011755,864.657570431495,825.977387842119,877.68189615892,865.26688587179,889.410295146336,880.175528048304,782.298314429792,819.216963650183,844.807345100753,860.147638899756,921.709031633191,999.039914900223,781.109010702643,801.834936503033,878.976792268387,926.50073332075,851.488764232619,854.036906931195,867.747169057492,869.685999928326,831.716174475395,889.333377611504,864.127347916452,827.299488121483,793.295799733556,776.310104209797,1009.75875038777,1064.08313512903,974.072220149477,912.342949845847,1036.43914460055,1037.489790214,939.513703967979,960.298444796037,843.382653629492,857.922765994795,847.051135079701,837.567912448357,919.247968763538,848.795864056625
/home/torgil/tmp/rotte/git_base/img/crop/Control_1037_Scan_1_SPECT_scropWarped.nii.gz,1314.44476891371,1317.6755636428,1236.78766271819,1239.83143931637,1021.79335442909,1028.89241544515,1151.88159773853,1123.93383698265,1217.55865417083,1262.13350973089,1136.17996610978,1187.2967093548,1418.98028363607,1494.77897508147,1314.36950725319,1417.76833066046,1566.86261493112,1557.27124220652,1042.77991555302,1102.06594680475,1572.00960139029,1555.50559243301,1190.98139152848,1256.63992175667,1515.09732769638,1547.14319721549,1390.09402716394,1415.80638402727,1516.22669874165,1534.44888095137,1494.49988223587,1523.24818434916,1007.89532425926,1067.57013658655,1510.05055630867,1450.91111948916,1280.4777738297,1377.23306391333,1266.50219743257,1369.72491272229,1457.74686112726,1554.37890957268,1090.70364336357,1071.60149292465,1092.61642691117,1010.84807132239,1335.57304686435,1434.28626327807,1437.7457117346,1423.72439301339,1456.13409504684,1491.90727221299,1406.87276458164,1402.50067067507,1180.28391691237,1257.73979286243,1105.42308052283,1100.00323543195,1134.83014896091,1137.86472613413,1108.33398790062,1052.17158403528,1170.2553003003,1130.63732305588,1213.58498433424,1171.5560179337,879.826041750052,948.780499459062,1024.6040419794,1063.77520374307,1171.82247941806,1237.43231313605,980.348494449653,988.164113849244,1076.61102465833,1109.44407029254,988.533170738983,1008.04457064655,1079.53351236372,1087.41118415904,1102.60796963596,1183.95925110796,1086.63746736807,1023.87877807566,976.084604914249,1005.60993992576,1281.91478448099,1283.85777711372,1238.7010136571,1200.66138159623,1156.27186040668,1210.7339179907,1290.77146774493,1318.81250261544,1174.98995619622,1097.60403248954,1049.86535171276,1093.69767413722,1106.85248609599,1116.93829068329
/home/torgil/tmp/rotte/git_base/img/crop/Control_1037_Scan_2_SPECT_scropWarped.nii.gz,884.137235883013,840.131332831907,870.509572824009,839.114241503061,779.827361915307,758.060843895429,916.320093426911,870.366631775295,846.506495906242,829.350129388145,905.38780187013,907.852764013208,1010.51204118268,1014.02965697392,951.102711649536,1015.29990252908,1000.2707075851,1020.25830713543,762.453974568056,792.452580103774,992.565768286894,1031.90356970986,801.852242607925,839.074822411636,961.34337463725,999.486632256146,967.27953567492,984.447036143601,955.688926991701,1057.1135972944,1046.49191640052,1110.43610469247,722.331506538652,748.619091374652,1087.04280763754,1086.20206184058,918.025215016161,1004.96360441305,889.471072683734,949.583856787389,1051.49546411226,1065.79301195651,846.796787425988,844.978377154006,805.643380403585,803.463497866887,959.62766696251,1052.14559160309,965.78606068598,928.921540516512,1078.71799497257,1060.65465805714,1000.93365222103,969.305839081386,916.930683683087,927.655860897927,856.549092997228,856.893087180449,859.60058282535,879.836377400593,853.209159417286,855.497368926939,810.548995072519,787.510105683766,865.542474988012,861.681005251592,796.135759555894,814.25167345103,901.839552609297,888.215992569906,854.843767026363,895.110035749645,733.27171965389,737.544466570559,914.101099133133,901.048158153607,908.896582976041,852.918809863776,979.650381694758,975.466418737839,818.87096504864,841.532373418622,831.523544871855,793.082092379271,820.655878069735,844.775448837996,996.311266887302,996.163245424424,905.871156702374,938.803629141981,913.29847314098,929.723840543786,977.013709579178,964.207004629982,828.313995478854,795.893508211089,876.652932868667,898.596763702472,891.971815075323,881.88523733997
/home/torgil/tmp/rotte/git_base/img/crop/Control_1038_Scan_1_SPECT_scropWarped.nii.gz,1159.54903207218,1265.67318158242,1106.11518513923,1188.95021485105,949.450978914218,963.066087719005,1076.13681496507,1041.851910357,1118.48855083252,1145.95535851824,1074.88011520081,1123.1310370452,1286.86965137829,1334.60791410826,1144.73486229993,1330.16015019476,1398.34991157526,1459.51494593399,1018.22242521972,1036.87280708159,1423.04571422542,1437.11216965286,1067.25852795884,1142.2292350814,1308.93141073589,1329.70991365069,1256.26873779629,1270.26132354931,1397.64175080665,1382.87080074374,1211.40737421807,1361.0350107086,938.781388503129,990.031210681895,1388.76240929648,1360.21967260161,1177.17161941342,1259.80273216223,1223.68134080804,1213.07155950229,1322.23221874014,1392.51793830991,1027.29437525508,1018.11587029856,957.809107574087,992.723770287203,1211.59354828717,1195.8277940494,1275.2251427804,1167.69776692625,1327.59297561606,1307.42180494237,1282.1296022235,1219.67243066549,1176.62570838464,1106.29870514775,1081.76107424616,1086.92299449897,1104.77419633789,1102.10945224121,1028.55372622604,1042.35038612168,1049.57939052466,1017.83859091894,1120.78222948642,1073.03798676623,918.246203140125,975.200797168823,1055.30724968285,1069.34250186462,1123.60585449572,1135.94705321971,931.686821507776,969.958762146318,1093.49165870964,1036.67013996741,984.141986003602,931.174615182705,1074.03725914691,1071.23164635904,1077.78913135736,1081.28224804562,1040.06883793931,1024.87768571927,1014.02536663495,1057.57527043065,1208.26858342437,1176.43486240994,1134.06591355049,1150.74671146876,1130.42543679868,1175.82533925221,1179.54461774112,1221.85451500751,1073.12804238419,1058.01654439218,1061.27550368227,1119.55886033145,1076.64219675402,1139.03019791883
/home/torgil/tmp/rotte/git_base/img/crop/Control_1038_Scan_2_SPECT_scropWarped.nii.gz,1125.24179368857,1229.49202524235,1082.85565852266,1150.24626181783,913.215354723005,918.254254511929,1070.63302834205,1036.20106118685,1007.13049623638,1050.78621246471,1082.20853534113,1146.96376196959,1191.88776128701,1224.12730229297,1087.29996263779,1154.56530704806,1334.5762574786,1337.24429365444,937.454893130602,967.196230167149,1259.49485819306,1307.34464765288,960.679224670138,1012.25218088464,1169.71099511642,1178.4821162284,1177.91306614522,1217.98331623622,1183.50845977456,1251.94286837529,1221.49325983119,1255.6765162584,892.296997136742,918.724254399103,1286.78841794498,1275.72294926643,1154.56339454636,1186.5125105104,1035.99785311456,1154.53885511787,1217.71849395935,1276.24428979034,1021.47813394699,1012.97232257336,987.153235428097,862.376615518887,1112.71266880546,1150.88869480411,1163.48568499284,1082.52403315518,1218.79065842527,1199.57212595833,1178.16272944793,1144.60277325989,1124.7084669525,1045.857571077,1090.15986967866,1042.81105543362,1068.95654867345,1056.03019099659,1055.23337835452,953.736521279399,996.855393016107,906.518555802337,1171.37673813502,1093.62551744553,963.098889602844,986.590585775799,1096.54865829812,1112.87239717693,1047.09245637526,1083.96438580387,911.716039590482,931.702703538161,1118.0167003934,1114.50109944428,1020.15043328188,1044.77872890022,1054.94859606718,1064.20014872465,1032.11945772373,1062.89776217367,1060.99653134748,968.683019076378,1039.81338291778,1089.95242051278,1244.84233023922,1235.14513355715,1147.3450779829,1076.41446912193,1155.19872716119,1128.3323298429,1232.4208534966,1221.60849849741,1019.82243919142,981.209894607104,1026.57221475847,1076.72909308114,1179.47009264656,1104.6846566793
/home/torgil/tmp/rotte/git_base/img/crop/Control_1039_Scan_1_SPECT_scropWarped.nii.gz,1076.16014709011,1066.26993756443,1030.97169578565,1024.88880333273,852.219604805717,800.383738678205,963.87333333797,915.123125522357,1025.59550350565,984.424224059006,1017.40638189538,1027.41043276894,1172.38988195397,1143.04587464975,1034.3931095739,1118.11894492986,1247.85944192719,1251.7296345035,863.959364978419,874.416918492811,1348.53909779126,1292.44874672753,971.107708798865,1000.63635874599,1198.33721011901,1109.37634637977,1158.57873169823,1158.50619577499,1230.37764639997,1225.75699511219,1131.10817004639,1182.61129185065,822.437102344532,848.274174931792,1195.86047946968,1217.05701337174,1125.99075257615,1120.18832468401,993.155639873215,1073.01798060223,1195.74227944802,1227.01106472737,916.709609165205,891.836863761123,892.240635697134,832.349851734158,1094.10965613203,1107.02398369869,1130.28808548351,1110.40889412643,1227.14277998563,1177.80126107645,1109.67401452459,1101.00196538598,1063.720321916,949.098423388909,923.120012036529,904.573750507257,972.530724810016,975.184473625701,932.545070991235,858.259188728535,958.004314696982,926.748144030324,1047.76405932852,946.58909069626,801.251922906927,753.82002269977,884.477691766108,929.238078302832,1002.46423038646,1013.66535920506,820.533148913987,831.761802823971,945.600469257379,980.890114824657,880.716555897521,852.107925464536,940.7918945989,952.438586702203,980.230015847205,941.123407660576,904.864359427739,882.003008777921,855.291024342481,843.47274105558,1083.53805891368,1113.78518163294,1045.90657635776,1000.54307635865,1106.74725164452,1083.45261143167,1100.36708905113,1125.82427933509,931.157549738265,913.898046664526,901.842140950666,902.935279592388,1019.05983837741,926.166737437178
/home/torgil/tmp/rotte/git_base/img/crop/Control_1039_Scan_2_SPECT_scropWarped.nii.gz,711.611940538562,768.776225228827,689.987978301603,740.146777633666,663.996838703074,649.98967534371,745.664020899152,724.483571899203,753.165229211459,716.877638872276,760.377905777274,826.325445496122,869.246207010654,818.090155810691,808.59243795349,850.591994684558,915.338912026015,904.468824983346,678.333037152862,681.282239835837,873.309701695349,945.244749226397,724.757496588276,739.953816510459,917.369958797463,904.583955437614,849.756352577927,853.86404543179,903.041052022689,929.390283151767,906.579996432734,882.17206067803,623.365479611547,652.269279857038,902.172189805951,872.717676470354,824.304631259589,805.568302925762,787.052084370809,814.699385408023,843.955500656436,873.799216974846,735.526385393263,710.980916239654,672.445172413491,662.294313948596,832.668273513929,803.200806709649,865.356079055463,784.14087822557,917.049441188817,906.637872734666,853.395205707376,796.1897483609,820.520191305751,815.370714014354,744.447857493136,759.055914689183,745.130338461147,751.506119970481,693.120164366586,692.55300823107,766.331477940644,748.537853065933,762.301607039754,802.646924409792,538.290878891217,552.672798134519,705.140426771089,746.667681682168,719.209515482542,738.701739114384,603.165849374545,631.512235329793,774.816829250264,782.173849201881,584.625684186417,661.389803681517,690.320135256765,698.058027132232,697.839930904832,704.584697305271,746.649383424939,740.551347665509,597.165312558319,709.500059072873,808.668905111391,864.146710413821,765.158207144394,802.952863013725,759.896326918996,788.232214590345,818.017813356453,844.820839323738,744.294956734879,725.733748065343,653.814338310953,716.995309532805,726.980401120104,789.054034205515
/home/torgil/tmp/rotte/git_base/img/crop/Control_1040_Scan_1_SPECT_scropWarped.nii.gz,1147.77922966353,1202.41848050001,1081.47953387639,1140.92776210814,938.531415868475,954.879456052994,1090.01963735967,1158.30276542673,1085.99888670176,1146.84517493259,1085.50093145707,1085.2299214423,1307.03619504101,1291.71845333003,1227.92853917524,1269.69397122579,1374.34020159341,1389.21760430236,960.499290459748,991.357496227308,1335.01321172894,1347.31594694923,1076.60407862128,1138.31314720765,1278.10984051771,1343.03520973176,1239.24705629765,1242.59414954431,1358.67620300556,1370.8906644739,1345.92563200064,1332.01612463361,912.332714212599,965.118808381962,1306.15315664508,1303.43834055309,1222.21760927055,1239.52122703877,1130.26537439787,1179.50269152387,1328.26980605988,1398.46410694327,980.829367296492,1019.68712970719,947.27235601941,975.271880474638,1190.34451644719,1218.96815811439,1236.3467214151,1136.54211438699,1353.08856808231,1310.73889828686,1203.08071724005,1202.68234168844,1114.94034999736,1105.11191796996,1082.74745329984,1021.58538254539,1127.47050780476,1071.83356265176,991.821892381824,996.879271599589,1042.65828981789,1095.67972015472,1047.31938233626,993.190592255839,898.385451521035,925.469830080341,1078.20410269813,1107.26760261314,1087.42934557238,1158.46960029393,903.957137358581,933.36098441145,1079.54154490066,1138.35427209581,1035.67866272409,1060.10734282407,1208.37459475945,1222.46768015,1055.62184308569,1071.13170325186,1005.79059397556,983.189382355657,1016.27378949818,1044.95582454833,1157.26843621422,1240.92721016607,1092.32602010855,1094.13723902554,1108.88053798135,1115.94243828771,1131.97423574831,1144.52882724697,1019.88608362501,1089.63759102811,1176.48913786871,1159.13891971059,1127.57015889387,1065.13510312181
/home/torgil/tmp/rotte/git_base/img/crop/Control_1040_Scan_2_SPECT_scropWarped.nii.gz,1110.93522288995,1158.44760185812,1093.00064638484,1110.72636752328,989.532180913227,920.428945008638,996.770251340749,1019.51128380208,1103.37619169794,1028.80338797187,993.953759309347,1038.45381287291,1263.69534351764,1215.16020528827,1175.49162495391,1173.99539493989,1330.70133110721,1383.9078239745,956.490517011132,983.629650857581,1346.77337302311,1375.7782592464,987.045960649177,1033.16414220222,1263.4584078041,1257.2709096303,1211.32347205664,1260.55422911498,1315.87539801922,1335.81549031713,1201.44072324757,1181.76925501509,878.645371937447,931.731785209313,1278.17415246519,1286.31349785814,1153.0591658749,1203.29160035213,1150.69835957525,1206.89787816053,1239.7621961255,1261.18188384233,1012.07884620326,999.914003443572,1000.05008408716,845.696129593604,1158.75790795891,1134.12999781188,1297.73057633647,1270.89129739012,1318.14487072894,1181.18146249943,1257.41512106926,1215.10195357282,1119.97409672091,1120.70030278761,1011.46979453427,990.048565304035,1047.52873952446,1043.34292677515,1071.41617135863,991.809999563213,1078.75410070268,841.522310793045,1021.14690264131,1065.20560961966,946.716444161757,933.38311411085,1054.90108310008,1049.792817772,1072.79824857519,1103.27083977907,881.217957328981,898.790144401219,1023.70294571452,1036.36367297466,1039.19296133409,1014.90314914613,1177.38034173168,1156.3210036445,1047.64648031152,1051.50611735378,1031.47310806096,870.170471858999,951.826027059731,1008.19642268825,1137.03273124121,1196.55259010519,1149.79055069401,1055.29353711904,1146.87915259338,1126.05632718798,1215.96665723336,1137.87268578978,1034.50916989005,945.567152839379,1175.56367896311,1176.47464406583,1040.25873942893,1096.38556416432
/home/torgil/tmp/rotte/git_base/img/crop/Treatment_1024_Scan_1_SPECT_scropWarped.nii.gz,872.338011752139,879.314970004072,839.101841681568,839.858718317476,845.29846798731,853.275540225446,859.264727702662,910.591981895904,864.591070488995,922.636555318833,931.616104072981,929.562171324524,1049.13839534157,1054.05699840028,989.49263749706,1111.13891382677,1136.56745638854,1132.45169473488,829.466778629282,855.221784940562,1068.42853892259,1081.64575135562,894.788401273313,986.12057153367,1109.36146992652,1063.96424988375,1029.83442807768,1041.80501600187,1101.68242233108,1104.54164091581,1088.57031631729,1079.15033496304,794.782619941422,825.806707219419,1085.5039784836,1070.4219225471,975.845573902232,1037.60361117704,944.339607440359,1031.96819687835,1054.21551007177,1081.46012237268,857.375595121123,848.567042255141,787.680404416099,835.804967120321,1021.83143897122,1023.58617604683,1006.48119380414,1002.52485169034,1148.93574820377,1118.73502535549,993.365801356399,971.875882057965,981.245217094666,977.624074919659,817.750914288341,882.335842740191,879.051232092146,919.80452826364,832.362456503723,877.275201270543,871.097833497555,914.50719980525,911.088948174429,920.028244907696,835.595282866083,896.278136038401,932.347474085384,953.843026335115,888.07611664041,929.582588956559,765.49414640212,769.401447927911,999.913279212676,987.381030772226,901.113654803423,892.46885941503,1035.51449422333,1044.22974465011,821.191242215034,855.565915764922,818.721661203453,903.30238041212,836.861724293251,899.902908097088,1030.8232316861,980.529062308845,907.908458697506,931.51348184599,955.056457551069,992.876097946046,1030.39762555437,1107.87809910205,821.666310868578,829.638833854408,937.299472896103,965.158159753522,854.423855765644,959.544809355052
